exts        files       size          share
--------  -------  ---------  -------------
html         6226  185914548   32.8655
jpg          1008  127785700   22.5897
shtml         646   87858668   15.5315
epub           48   83966946   14.8435
pdf            32   65389836   11.5595
gif           190    8694244    1.53695
jpeg           34    3331854    0.588997
                7    1464408    0.258875
png             4    1262106    0.223112
css             2      11302    0.00199794
shtml%22        4       1304    0.000230518
out             2        652    0.000115259
txt             1        326    5.76295e-05
xml             1        326    5.76295e-05
#total       8205  565682220  100
